id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,36897
4,.,4126
5,그,3717
6,이,3252
7,는,2434
8,아,2395
9,가,2309
10,고,2267
11,어,2074
12,거,2001
13,지,1748
14,데,1683
15,?,1522
16,나,1476
17,다,1400
18,하,1387
19,서,1350
20,에,1274
21,도,1215
22,게,1132
23,니,1062
24,기,931
25,은,913
26,야,876
27,한,855
28,면,838
29,있,825
30,해,809
31,라,755
32,까,726
33,을,702
34,리,693
35,래,684
36,근,680
37,사,659
38,로,606
39,안,590
40,들,590
41,뭐,585
42,일,530
43,내,523
44,같,518
45,보,509
46,시,501
47,제,485
48,런,480
49,자,468
50,만,437
51,때,435
52,대,421
53,너,417
54,러,405
55,진,404
56,오,397
57,되,396
58,를,385
59,잖,383
60,간,379
61,으,378
62,인,377
63,무,375
64,요,362
65,었,353
66,마,352
67,막,349
68,냥,348
69,생,346
70,애,344
71,우,342
72,스,341
73,했,340
74,수,340
75,렇,330
76,학,326
77,구,324
78,짜,320
79,말,299
80,없,295
81,주,287
82,많,287
83,더,277
84,원,275
85,음,266
86,정,264
87,번,264
88,겠,264
89,부,261
90,할,257
91,먹,252
92,든,250
93,좋,244
94,전,238
95,여,238
96,약,235
97,람,222
98,각,222
99,랑,221
100,금,218
101,네,215
102,걸,211
103,좀,209
104,알,204
105,건,200
106,모,198
107,않,195
108,것,193
109,드,190
110,십,188
111,려,188
112,맞,186
113,냐,184
114,저,182
115,교,174
116,히,170
117,비,170
118,던,170
119,치,169
120,장,169
121,르,167
122,잘,166
123,상,165
124,못,164
125,중,159
126,동,158
127,단,158
128,싶,156
129,바,154
130,트,150
131,얘,150
132,또,149
133,난,148
134,봤,147
135,테,144
136,응,142
137,연,142
138,적,139
139,걔,137
140,갔,137
141,영,136
142,계,135
143,엄,134
144,봐,133
145,신,131
146,미,131
147,공,130
148,화,129
149,세,129
150,차,128
151,의,128
152,년,128
153,날,125
154,재,124
155,긴,123
156,집,122
157,럼,122
158,왜,120
159,았,116
160,식,115
161,터,114
162,예,114
163,분,114
164,친,112
165,타,111
166,살,111
167,쫌,109
168,직,108
169,명,108
170,두,108
171,돼,108
172,속,106
173,버,106
174,물,106
175,청,105
176,행,103
177,빠,103
178,디,103
179,쪽,102
180,운,102
181,실,102
182,국,102
183,개,102
184,심,101
185,피,100
186,랬,99
187,과,99
188,갈,99
189,처,97
190,소,95
191,업,94
192,언,94
193,경,93
194,와,92
195,배,92
196,느,92
197,본,91
198,방,91
199,관,90
200,문,88
201,선,87
202,삼,87
203,돈,87
204,유,86
205,뭔,86
206,달,85
207,남,84
208,받,82
209,회,80
210,맛,78
211,따,77
212,강,77
213,크,76
214,점,76
215,카,74
216,왔,74
217,몇,74
218,른,74
219,편,73
220,반,73
221,열,72
222,된,72
223,님,72
224,월,70
225,당,70
226,였,69
227,백,68
228,밌,68
229,워,67
230,별,67
231,성,66
232,떻,66
233,군,65
234,조,64
235,얼,64
236,양,64
237,딱,64
238,프,63
239,위,62
240,머,62
241,매,62
242,노,62
243,키,61
244,형,60
245,케,60
246,찮,60
247,입,60
248,용,60
249,준,59
250,임,59
251,올,59
252,슨,59
253,몰,59
254,등,59
255,괜,59
256,팔,58
257,작,58
258,산,58
259,져,57
260,쓰,57
261,새,57
262,볼,57
263,끝,57
264,체,56
265,울,56
266,싸,56
267,불,56
268,밥,56
269,누,56
270,파,55
271,혼,54
272,육,54
273,될,54
274,외,53
275,길,53
276,감,53
277,레,51
278,즘,50
279,초,49
280,목,49
281,맨,49
282,힘,48
283,필,48
284,통,48
285,칠,48
286,결,48
287,확,47
288,티,47
289,돌,47
290,놀,47
291,질,46
292,완,46
293,닌,46
294,험,45
295,천,45
296,복,45
297,민,45
298,줄,44
299,온,44
300,됐,44
301,추,43
302,역,43
303,갑,43
304,술,42
305,발,42
306,색,41
307,렸,41
308,찍,40
309,졌,40
310,억,40
311,싫,40
312,린,40
313,갖,40
314,토,39
315,끼,39
316,호,38
317,포,38
318,늘,38
319,취,37
320,럴,37
321,깐,37
322,잡,36
323,섯,36
324,빨,36
325,루,36
326,담,36
327,낌,36
328,출,35
329,줘,35
330,후,34
331,쪼,34
332,습,34
333,병,34
334,박,34
335,났,34
336,글,34
337,페,33
338,줬,33
339,락,33
340,떤,33
341,겨,33
342,튼,32
343,큰,32
344,최,32
345,절,32
346,벌,32
347,코,31
348,졸,31
349,씩,31
350,써,31
351,눈,31
352,격,31
353,증,30
354,앞,30
355,솔,30
356,밖,30
357,능,30
358,놓,30
359,항,29
360,커,29
361,책,29
362,종,29
363,엔,29
364,설,29
365,먼,29
366,쳐,28
367,잠,28
368,웃,28
369,옆,28
370,쉬,28
371,빼,28
